"","x"
"1",6.621
"2",6.433
"3",6.582
"4",7.224
"5",6.875
"6",6.947
"7",7.328
"8",6.777
"9",7.503
"10",6.916
"11",7.045
"12",6.956
"13",6.976
"14",7.185
"15",6.899
"16",7.396
"17",7.287
"18",7.22
"19",7.651
"20",7.72
"21",7.543
"22",7.961
"23",7.327
"24",7.38
"25",7.501
"26",7.605
"27",7.584
"28",7.401
"29",7.505
"30",7.427
"31",6.993
"32",7.402
"33",7.391
"34",7.088
"35",6.949
"36",7.506
"37",7.396
"38",7.421
"39",7.159
"40",7.379
"41",7.369
"42",6.652
"43",6.769
"44",6.828
"45",7.344
"46",7.447
"47",7.186
"48",6.642
"49",6.788
"50",6.783
"51",7.037
"52",7.112
"53",7.039
"54",6.576
"55",7.002
"56",6.77
"57",7.002
"58",6.806
"59",7.221
"60",7.379
"61",7.027
"62",7.744
"63",6.464
"64",7.376
"65",7.899
"66",7.318
"67",7.174
"68",7.086
"69",7.774
"70",7.104
"71",7.129
"72",7.407
"73",7.701
"74",7.572
"75",7.813
"76",7.422
"77",7.792
"78",7.433
"79",7.796
"80",7.7
"81",7.365
"82",7.814
"83",7.326
"84",7.473
"85",7.181
"86",7.286
"87",7.293
"88",7.514
"89",7.204
"90",7.276
"91",7.509
"92",6.923
"93",7.056
"94",7.24
"95",7.138
"96",7.432
"97",7.354
"98",7.4
"99",7.596
"100",7.358
"101",6.852
"102",6.726
"103",7.131
"104",6.603
"105",7.322
"106",6.779
"107",7.325
"108",6.961
"109",7.188
"110",7.1
"111",7.239
"112",7.194
"113",6.964
"114",6.797
"115",7.561
"116",7.392
"117",7.47
"118",7.657
"119",7.649
"120",7.295
"121",7.364
"122",7.018
"123",7.74
"124",7.392
"125",7.804
"126",7.868
"127",7.578
"128",8.113
"129",7.916
"130",7.336
"131",8.033
"132",7.581
"133",8.187
"134",7.629
"135",7.386
"136",7.889
"137",7.478
"138",7.485
"139",7.387
"140",7.276
"141",7.613
"142",7.704
"143",7.788
"144",7.64
"145",7.552
"146",7.992
"147",6.845
"148",7.43
"149",8.074
"150",7.684
"151",7.411
"152",7.567
"153",7.124
"154",7.124
"155",7.157
"156",6.321
"157",6.953
"158",7.487
"159",6.993
"160",7.372
"161",7.286
"162",7.214
"163",7.521
"164",7.481
"165",7.398
"166",7.187
"167",7.72
"168",7.042
"169",7.892
"170",6.824
"171",7.552
"172",7.938
"173",8.028
"174",7.461
"175",7.77
"176",7.65
"177",7.909
"178",7.93
"179",7.562
"180",8.006
"181",7.523
"182",7.581
"183",7.638
"184",8.187
"185",7.836
"186",7.75
"187",8.061
"188",6.955
"189",7.601
"190",7.763
"191",7.733
"192",7.515
"193",7.562
"194",8.143
"195",8.204
"196",7.432
"197",7.377
"198",7.929
"199",7.431
"200",7.593
"201",8.229
"202",7.933
"203",8.278
"204",7.718
"205",7.134
"206",7.534
"207",7.26
"208",6.976
"209",7.267
"210",7.132
"211",7.398
"212",7.67
"213",7.194
"214",7.548
"215",7.834
"216",7.797
"217",8.195
"218",7.588
"219",7.543
"220",8.156
"221",7.731
"222",7.539
"223",8.052
"224",8.183
"225",7.797
"226",8.46
"227",8.055
"228",7.971
"229",8.489
"230",8.238
"231",7.996
"232",7.866
"233",8.483
"234",8.213
"235",8.402
"236",7.628
"237",8.411
"238",8.206
"239",7.825
"240",8.078
"241",8.249
"242",7.821
"243",7.257
"244",8.106
"245",7.879
"246",7.712
"247",8.103
"248",7.449
"249",8.477
"250",8.021
"251",7.84
"252",7.439
"253",7.949
"254",7.489
"255",8.115
"256",7.035
"257",7.958
"258",7.513
"259",6.949
"260",7.393
"261",7.513
"262",7.52
"263",7.868
"264",7.826
"265",7.338
"266",7.877
"267",7.757
"268",7.9
"269",7.568
"270",7.28
"271",7.804
"272",7.433
"273",8.079
"274",7.592
"275",8.267
"276",7.512
"277",8.08
"278",7.836
"279",7.946
"280",7.957
"281",7.956
"282",8.563
"283",8.015
"284",7.968
"285",8.152
"286",8.067
"287",8.279
"288",7.722
"289",7.818
"290",8.364
"291",8.369
"292",7.843
"293",7.537
"294",8
"295",7.619
"296",7.935
"297",7.637
"298",7.958
"299",7.991
"300",7.682
"301",7.804
"302",8.073
"303",7.883
"304",7.37
"305",7.706
"306",8.355
"307",8.051
"308",7.74
"309",7.122
"310",7.44
"311",7.408
"312",7.265
"313",7.125
"314",7.013
"315",7.53
"316",8.011
"317",7.779
"318",7.417
"319",8.125
"320",7.729
"321",7.492
"322",8.115
"323",7.791
"324",7.914
"325",7.922
"326",8.224
"327",7.765
"328",8.253
"329",8.088
"330",8.154
"331",7.59
"332",8.009
"333",8.557
"334",8.234
"335",8.489
"336",8.606
"337",8.595
"338",8.6
"339",8.29
"340",8.253
"341",8.539
"342",7.922
"343",8.695
"344",8.053
"345",8.215
"346",7.746
"347",8.14
"348",8.379
"349",8.221
"350",8.315
"351",7.741
"352",8.355
"353",8.025
"354",7.793
"355",8.043
"356",7.578
"357",8.437
"358",7.955
"359",8.151
"360",8.201
"361",7.832
"362",7.673
"363",7.779
"364",7.94
"365",7.67
"366",7.673
"367",8.201
"368",8.005
"369",7.662
"370",7.744
"371",8.103
"372",7.753
"373",7.996
"374",8.992
"375",8.031
"376",8.303
"377",8.118
"378",8.19
"379",7.503
"380",8.524
"381",8.337
"382",8.205
"383",8.312
"384",8.103
"385",8.16
"386",8.644
"387",8.755
"388",8.234
"389",8.749
"390",8.125
"391",8.997
"392",8.317
"393",8.981
"394",8.288
"395",8.607
"396",8.713
"397",8.722
"398",7.873
"399",8.359
"400",8.058
"401",8.797
"402",8.049
"403",8.099
"404",8.36
"405",8.195
"406",7.711
"407",8.381
"408",8.313
"409",8.162
"410",8.314
"411",8.588
"412",8.153
"413",8.519
"414",7.385
"415",7.81
"416",8.186
"417",7.866
"418",7.532
"419",8.756
"420",7.948
"421",8.316
"422",8.273
"423",8.451
"424",8.367
"425",8.337
"426",7.959
"427",7.878
"428",8.066
"429",8.923
"430",7.825
"431",8.059
"432",8.761
"433",8.275
"434",8.401
"435",8.193
"436",8.827
"437",8.522
"438",9.045
"439",9.076
"440",8.679
"441",8.622
"442",8.639
"443",8.537
"444",8.644
"445",8.519
"446",8.415
"447",8.81
"448",8.778
"449",8.593
"450",8.504
"451",8.865
"452",8.557
"453",8.433
"454",8.406
"455",8.521
"456",8.532
"457",8.333
"458",8.416
"459",8.404
"460",8.416
"461",7.67
"462",8.557
"463",8.638
"464",8.59
"465",8.851
"466",7.907
"467",7.543
"468",7.919
"469",8.385
"470",7.642
"471",8.375
"472",8.524
"473",8.072
"474",7.608
"475",8.662
"476",8.201
"477",8.384
"478",7.896
"479",8.655
"480",8.557
"481",8.616
"482",8.302
"483",8.679
"484",8.242
"485",8.408
"486",9.075
"487",8.863
"488",8.403
"489",8.895
"490",8.475
"491",8.62
"492",8.519
"493",8.844
"494",8.361
"495",8.614
"496",8.759
"497",8.813
"498",8.786
"499",8.96
"500",8.644
"501",8.573
"502",8.814
"503",8.153
"504",7.819
"505",8.34
"506",8.663
"507",8.604
"508",8.942
"509",8.78
"510",8.216
"511",8.419
"512",8.063
"513",8.233
"514",8.711
"515",8.475
"516",8.4
"517",8.693
"518",7.825
"519",8.225
"520",7.894
"521",7.338
"522",8.589
"523",8.032
"524",7.85
"525",8.187
"526",8.489
"527",8.425
"528",8.484
"529",8.475
"530",8.507
"531",8.306
"532",8.438
"533",8.708
"534",8.404
"535",8.665
"536",8.275
"537",8.917
"538",8.27
"539",8.809
"540",8.428
"541",8.393
"542",8.921
"543",9.036
"544",8.622
"545",9.095
"546",9.176
"547",9.007
"548",8.959
"549",8.671
"550",9.035
"551",8.943
"552",8.612
"553",8.529
"554",8.969
"555",7.834
"556",8.514
"557",8.5
"558",8.766
"559",8.619
"560",8.702
"561",8.797
"562",8.771
"563",8.612
"564",8.868
"565",8.517
"566",8.327
"567",8.622
"568",8.888
"569",8.86
"570",8.288
"571",8.359
"572",8.049
"573",8.184
"574",8.223
"575",8.117
"576",8.428
"577",8.729
"578",8.782
"579",8.277
"580",8.713
"581",8.621
"582",8.386
"583",8.865
"584",8.84
"585",8.684
"586",8.699
"587",8.521
"588",8.548
"589",9.19
"590",8.685
"591",8.778
"592",9.004
"593",8.771
"594",8.752
"595",9.172
"596",9.004
"597",8.985
"598",9.056
"599",9.093
"600",9.297
"601",9.27
"602",8.939
"603",9.173
"604",9.135
"605",8.844
"606",8.899
"607",8.625
"608",8.582
"609",8.895
"610",9.09
"611",8.653
"612",9.022
"613",9.324
"614",8.759
"615",8.54
"616",8.667
"617",9.06
"618",8.616
"619",8.854
"620",9.063
"621",8.989
"622",8.411
"623",8.335
"624",8.645
"625",8.793
"626",8.551
"627",8.106
"628",8.454
"629",8.619
"630",8.421
"631",9.02
"632",8.596
"633",8.666
"634",8.284
"635",8.458
"636",8.64
"637",8.737
"638",8.358
"639",8.834
"640",8.894
"641",8.992
"642",9.299
"643",8.516
"644",8.529
"645",8.88
"646",8.833
"647",9.476
"648",9.05
"649",8.763
"650",9.177
"651",9.563
"652",9.303
"653",9.381
"654",9.325
"655",9.668
"656",9.337
"657",8.886
"658",8.974
"659",9.166
"660",8.69
"661",9.19
"662",9.156
"663",8.754
"664",9.413
"665",9.316
"666",8.995
"667",9.232
"668",8.725
"669",8.979
"670",8.776
"671",8.93
"672",9.166
"673",8.726
"674",8.686
"675",8.411
"676",8.426
"677",8.543
"678",8.514
"679",8.627
"680",8.727
"681",8.796
"682",8.97
"683",8.968
"684",9.044
"685",8.818
"686",8.731
"687",9.249
"688",9.338
"689",8.973
"690",9.255
"691",8.926
"692",9.373
"693",9.119
"694",9.154
"695",9.259
"696",9.045
"697",9.219
"698",9.194
"699",9.199
"700",9.398
"701",9.3
"702",8.84
"703",9.31
"704",9.263
"705",9.472
"706",9.521
"707",9.424
"708",9.267
"709",9.453
"710",9.234
"711",9.005
"712",8.922
"713",8.915
"714",8.917
"715",9.177
"716",8.883
"717",8.977
"718",9.217
"719",9.237
"720",8.988
"721",9.204
"722",9.107
"723",9.268
"724",9.068
"725",9.329
"726",9.287
"727",8.71
"728",8.695
"729",8.881
"730",8.848
"731",8.837
"732",8.825
"733",8.898
"734",8.884
"735",9.014
"736",9.131
"737",9.069
"738",9.075
"739",9.095
"740",9.089
"741",9.17
"742",9.306
"743",9.024
"744",9.175
"745",9.269
"746",9.443
"747",9.461
"748",9.451
"749",9.528
"750",9.313
"751",9.367
"752",9.721
"753",9.391
"754",9.415
"755",9.449
"756",9.586
"757",9.483
"758",9.408
"759",9.471
"760",9.406
"761",9.027
"762",8.636
"763",8.819
"764",8.836
"765",8.84
"766",8.783
"767",8.961
"768",8.981
"769",9.045
"770",9.246
"771",9.151
"772",9.124
"773",9.189
"774",9.221
"775",9.268
"776",9.326
"777",9.249
"778",9.358
"779",8.95
"780",8.859
"781",8.826
"782",8.879
"783",8.967
"784",9.083
"785",9.046
"786",8.951
"787",9.057
"788",9.106
"789",9.1
"790",9.054
"791",9.063
"792",9.297
"793",9.1
"794",9.012
"795",9.099
"796",9.346
"797",9.327
"798",9.193
"799",9.43
"800",9.367
"801",9.413
"802",9.429
"803",9.54
"804",9.645
"805",9.621
"806",9.569
"807",9.573
"808",9.639
"809",9.697
"810",9.53
"811",9.571
"812",9.61
"813",9.622
"814",9.368
"815",9.229
"816",9.287
"817",9.081
"818",9.242
"819",9.298
"820",9.511
"821",9.499
"822",9.256
"823",9.11
"824",9.149
"825",9.32
"826",9.477
"827",9.394
"828",9.491
"829",9.229
"830",9.247
"831",9.201
"832",9.06
"833",9.008
"834",9.09
"835",9.136
"836",9.061
"837",9.198
"838",9.121
"839",9.191
"840",9.158
"841",9.24
"842",9.25
"843",9.491
"844",9.472
"845",9.247
"846",9.163
"847",9.26
"848",9.344
"849",9.404
"850",9.433
"851",9.485
"852",9.495
"853",9.487
"854",9.591
"855",9.575
"856",9.557
"857",9.663
"858",9.71
"859",9.688
"860",9.662
"861",9.575
"862",9.572
"863",9.762
"864",9.626
"865",9.577
"866",9.393
"867",9.247
"868",9.235
"869",9.12
"870",9.2
"871",9.253
"872",9.373
"873",9.355
"874",9.367
"875",9.187
"876",9.222
"877",9.356
"878",9.266
"879",9.348
"880",9.287
"881",9.446
"882",9.286
"883",9.304
"884",9.116
"885",8.964
"886",8.94
"887",8.916
"888",9.02
"889",9.125
"890",9.045
"891",9.071
"892",9.131
"893",9.071
"894",9.116
"895",9.33
"896",9.286
"897",9.338
"898",9.215
"899",9.189
"900",9.311
"901",9.343
"902",9.359
"903",9.373
"904",9.129
"905",9.411
"906",9.251
"907",9.334
"908",9.357
"909",9.347
"910",9.344
"911",9.342
"912",9.468
"913",9.484
"914",9.446
"915",9.423
"916",9.411
"917",9.424
"918",9.09
"919",8.907
"920",8.741
"921",8.73
"922",8.691
"923",8.894
"924",9.065
"925",9.057
"926",9.095
"927",9.002
"928",8.962
"929",8.844
"930",8.933
"931",9.015
"932",9.175
"933",8.867
"934",9.106
"935",8.99
"936",8.758
"937",8.641
"938",8.65
"939",9.015
"940",9.006
"941",8.908
"942",9.01
"943",9.204
"944",8.972
"945",8.955
"946",9.1
"947",9.125
"948",9.024
"949",8.944
"950",9.136
"951",9.151
"952",8.923
"953",8.911
"954",9.232
"955",9.538
"956",9.02
"957",9.141
"958",9.354
"959",9.129
"960",9.053
"961",9.229
"962",9.163
"963",9.255
"964",9.171
"965",9.199
"966",8.951
"967",9.205
"968",9.105
"969",9.478
"970",9.283
"971",9.001
"972",8.79
"973",9.126
"974",9.269
"975",9.256
"976",8.95
"977",8.858
"978",9.015
"979",8.844
"980",9.015
"981",9.092
"982",8.943
"983",9.012
"984",8.963
"985",9.045
"986",9.074
"987",8.741
"988",8.74
"989",8.602
"990",8.619
"991",8.613
"992",8.766
"993",8.521
"994",9.064
"995",8.882
"996",8.992
"997",8.849
"998",9.087
"999",9.06
"1000",9.076
"1001",9.325
"1002",9.152
"1003",9.29
"1004",9.282
"1005",9.14
"1006",9.092
"1007",9.099
"1008",9.174
"1009",9.194
"1010",9.338
"1011",9.241
"1012",9.462
"1013",9.449
"1014",9.08
"1015",9.435
"1016",9.632
"1017",9.477
"1018",9.236
"1019",9.459
"1020",9.375
"1021",9.386
"1022",9.263
"1023",9.019
"1024",8.847
"1025",9.383
"1026",8.989
"1027",8.812
"1028",8.891
"1029",9.358
"1030",9.015
"1031",9.056
"1032",8.952
"1033",8.829
"1034",8.867
"1035",9.171
"1036",9.349
"1037",9.213
"1038",9.399
"1039",8.853
"1040",8.819
"1041",8.775
"1042",8.632
"1043",8.549
"1044",8.524
"1045",8.81
"1046",9.101
"1047",9.162
"1048",9.192
"1049",8.83
"1050",9.074
"1051",8.866
"1052",8.853
"1053",9.181
"1054",9.062
"1055",9.148
"1056",8.943
"1057",8.826
"1058",9.048
"1059",9.025
"1060",9.431
"1061",9.163
"1062",9.37
"1063",9.319
"1064",9.261
"1065",9.309
"1066",9.016
"1067",9.028
"1068",8.999
"1069",9.215
"1070",9.244
"1071",9.195
"1072",9.009
"1073",9.229
"1074",8.956
"1075",8.848
"1076",8.858
"1077",8.964
"1078",8.959
"1079",9.01
"1080",8.598
"1081",8.501
"1082",8.518
"1083",8.671
"1084",8.625
"1085",8.592
"1086",8.769
"1087",8.574
"1088",8.666
"1089",8.879
"1090",8.923
"1091",8.556
"1092",8.179
"1093",7.996
"1094",8.098
"1095",8.018
"1096",8.039
"1097",8.167
"1098",8.628
"1099",8.363
"1100",8.262
"1101",8.415
"1102",8.379
"1103",8.71
"1104",8.783
"1105",8.681
"1106",8.775
"1107",8.496
"1108",8.692
"1109",8.864
"1110",8.971
"1111",8.633
"1112",8.931
"1113",8.648
"1114",9.13
"1115",8.693
"1116",8.846
"1117",9.001
"1118",8.917
"1119",8.628
"1120",8.66
"1121",8.82
"1122",8.839
"1123",9.308
"1124",9.081
"1125",9.064
"1126",9.177
"1127",8.695
"1128",8.632
"1129",8.77
"1130",8.633
"1131",8.587
"1132",8.729
"1133",8.493
"1134",8.844
"1135",8.307
"1136",8.908
"1137",8.898
"1138",8.427
"1139",8.354
"1140",8.488
"1141",8.618
"1142",8.608
"1143",8.518
"1144",8.01
"1145",8.32
"1146",8.431
"1147",8.501
"1148",8.415
"1149",8.404
"1150",8.437
"1151",8.597
"1152",8.364
"1153",8.627
"1154",8.324
"1155",8.399
"1156",8.523
"1157",8.477
"1158",8.383
"1159",8.75
"1160",8.415
"1161",8.445
"1162",8.341
"1163",8.79
"1164",8.956
"1165",8.822
"1166",8.648
"1167",8.84
"1168",8.894
"1169",9.294
"1170",9.299
"1171",8.729
"1172",8.982
"1173",9.147
"1174",9.246
"1175",9.19
"1176",9.2
"1177",9.031
"1178",9.094
"1179",8.605
"1180",9.028
"1181",8.846
"1182",8.527
"1183",8.846
"1184",9.077
"1185",8.797
"1186",9.054
"1187",9.292
"1188",9.032
"1189",8.924
"1190",8.909
"1191",8.873
"1192",8.348
"1193",9.016
"1194",9.176
"1195",8.893
"1196",8.274
"1197",8.021
"1198",8.059
"1199",8.584
"1200",8.452
"1201",8.325
"1202",8.03
"1203",8.535
"1204",8.411
"1205",8.949
"1206",8.512
"1207",9.002
"1208",8.713
"1209",8.996
"1210",8.616
"1211",8.43
"1212",8.693
"1213",8.719
"1214",9.191
"1215",9.174
"1216",9.31
"1217",9.104
"1218",8.624
"1219",9.258
"1220",8.813
"1221",9.168
"1222",8.935
"1223",9.057
"1224",8.792
"1225",9.006
"1226",9.359
"1227",8.922
"1228",8.775
"1229",9.1
"1230",9.48
"1231",8.611
"1232",8.707
"1233",8.781
"1234",8.66
"1235",8.645
"1236",9.043
"1237",8.836
"1238",8.867
"1239",9.162
"1240",9.005
"1241",9.194
"1242",9.254
"1243",9.425
"1244",8.549
"1245",9.373
"1246",9.518
"1247",9.614
"1248",8.809
"1249",8.875
"1250",8.851
"1251",9.022
"1252",8.442
"1253",8.282
"1254",8.809
"1255",8.915
"1256",8.63
"1257",8.515
"1258",9.26
"1259",8.619
"1260",9.435
"1261",8.61
"1262",8.914
"1263",9.185
"1264",8.92
"1265",8.785
"1266",9.201
"1267",9.261
"1268",9.734
"1269",8.978
"1270",9.6
"1271",9.176
"1272",9.655
"1273",9.731
"1274",9.532
"1275",9.404
"1276",9.749
"1277",9.339
"1278",9.687
"1279",9.686
"1280",9.705
"1281",9.189
"1282",9.438
"1283",9.017
"1284",8.983
"1285",9.215
"1286",9.021
"1287",8.958
"1288",9.137
"1289",9.157
"1290",9.343
"1291",9.184
"1292",9.388
"1293",9.054
"1294",8.921
"1295",9.281
"1296",9.42
"1297",9.22
"1298",9.185
"1299",9.395
"1300",8.159
"1301",8.5
"1302",9.079
"1303",8.941
"1304",8.341
"1305",9.122
"1306",9.203
"1307",9.576
"1308",9.121
"1309",9.411
"1310",9.458
"1311",9.503
"1312",9.244
"1313",9.224
"1314",9.633
"1315",9.444
"1316",9.315
"1317",9.502
"1318",9.658
"1319",9.755
"1320",9.516
"1321",9.716
"1322",9.568
"1323",9.762
"1324",9.815
"1325",9.709
"1326",9.755
"1327",9.671
"1328",9.785
"1329",9.797
"1330",9.752
"1331",9.769
"1332",9.762
"1333",9.659
"1334",9.511
"1335",9.595
"1336",9.406
"1337",9.65
"1338",8.88
"1339",9.39
"1340",9.264
"1341",8.798
"1342",9.118
"1343",9.183
"1344",9.213
"1345",9.359
"1346",9.024
"1347",9.08
"1348",8.757
"1349",8.874
"1350",9.269
"1351",9.278
"1352",8.465
"1353",8.47
"1354",8.069
"1355",8.039
